Ticker,Quarter_End,Available_Date,Revenue_YoY_Growth,Gross_Margin,Operating_Margin,Profit_Margin,FCF_Margin_YTD,Debt_To_Assets,Liabilities_To_Assets
NVDA,2025-10-26,2025-11-19,0.62,0.73,0.63,0.55,0.41,0.05,0.26
TSLA,2025-09-30,2025-10-23,0.11,0.17,0.05,0.04,0.06,0.05,0.39
TSLA,2025-06-30,2025-07-24,-0.12,0.17,0.04,0.05,0.04,0.06,0.39
NVDA,2025-07-27,2025-08-27,0.56,0.72,0.61,0.57,0.85,0.06,0.29
GOOG,2025-06-30,2025-07-23,0.13,0.59,0.32,0.29,0.12,0.04,0.27
GOOG,2025-09-30,2025-10-29,0.15,0.59,0.30,0.34,0.16,0.04,0.27
TSLA,2023-09-30,2023-10-23,0.09,0.18,0.08,0.08,0.03,0.05,0.42
TSLA,2024-03-31,2024-04-23,-0.09,0.17,0.05,0.05,-0.12,0.05,0.40
TSLA,2024-06-30,2024-07-23,0.02,0.18,0.06,0.06,-0.03,0.07,0.40
TSLA,2024-09-30,2024-10-23,0.08,0.20,0.11,0.09,0.02,0.06,0.41
TSLA,2025-03-31,2025-04-23,-0.09,0.16,0.02,0.02,0.03,0.06,0.40
GOOG,2023-09-30,2023-10-24,0.11,0.57,0.28,0.26,0.28,0.07,0.31
GOOG,2024-03-31,2024-04-25,0.15,0.58,0.32,0.29,0.21,0.06,0.28
GOOG,2024-06-30,2024-07-23,0.14,0.58,0.32,0.28,0.18,0.06,0.27
GOOG,2024-09-30,2024-10-29,0.15,0.59,0.32,0.30,0.19,0.06,0.27
GOOG,2025-03-31,2025-04-24,0.12,0.60,0.34,0.38,0.21,0.05,0.27
NVDA,2023-10-29,2023-11-21,2.06,0.74,0.57,0.51,0.41,0.18,0.39
NVDA,2024-04-28,2024-05-22,2.62,0.78,0.65,0.57,0.58,0.13,0.36
NVDA,2024-07-28,2024-08-28,1.22,0.75,0.62,0.55,0.51,0.10,0.32
NVDA,2024-10-27,2024-11-20,0.94,0.75,0.62,0.55,0.50,0.09,0.31
NVDA,2025-04-27,2025-05-28,0.69,0.61,0.49,0.43,0.59,0.07,0.33
